Module,Endpoint,Method,URL,Auth Required,Query Parameters,Request Body,Response Success (200),Response Error,Notes
Authentication,Login Admin,POST,/api/a/sessions/login,No,,"{ ""email"": ""admin@example.com"", ""password"": ""password123"" }","{ ""status"": true, ""data"": { ""accessToken"": ""string"", ""admin"": { ""_id"": ""string"", ""fullname"": ""string"", ""email"": ""string"", ""role"": ""string"", ""permissions"": [], ""status"": ""active"" } } }","{ ""status"": false, ""message"": ""Error message"", ""errors"": [] }",Returns JWT token
Authentication,Get Current Admin,GET,/api/a/sessions/current_admin,Yes,,,"{ ""status"": true, ""data"": { ""admin"": { ""_id"": ""string"", ""fullname"": ""string"", ""email"": ""string"", ""phone"": ""string"", ""avatar"": ""string"", ""role"": ""string"", ""permissions"": [], ""status"": ""string"", ""createdAt"": ""date"" } } }","{ ""status"": false, ""message"": ""Unauthorized"" }",Requires Bearer token
Authentication,Update Profile,PATCH,/api/a/sessions,Yes,,"{ ""fullname"": ""string"", ""phone"": ""string"", ""avatar"": ""string"", ""address"": ""string"" }","{ ""status"": true, ""data"": { ""admin"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
Authentication,Change Password,PATCH,/api/a/sessions/change_password,Yes,,"{ ""oldPassword"": ""string"", ""newPassword"": ""string"" }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Authentication,Forgot Password,POST,/api/a/passwords/forgot_password,No,,"{ ""email"": ""string"" }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",Sends reset email
Authentication,Verify OTP,POST,/api/a/passwords/verify_otp,No,,"{ ""email"": ""string"", ""otp"": ""string"" }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Invalid OTP"" }",
Authentication,Reset Password,POST,/api/a/passwords,No,"email, token","{ ""newPassword"": ""string"" }","{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
FAQs,Get All FAQs,GET,/api/a/faqs,Yes,"page=1, limit=12",,"{ ""status"": true, ""data"": { ""faqs"": [ { ""_id"": ""string"", ""title"": ""string"", ""content"": ""string"", ""slug"": ""string"", ""status"": ""active"", ""createdAt"": ""date"", ""updatedAt"": ""date"" } ], ""pagination"": { ""total"": 0, ""page"": 1, ""limit"": 12 } } }","{ ""status"": false, ""message"": ""Error message"" }",Supports pagination
FAQs,Get FAQ by ID,GET,/api/a/faqs/:faqId,Yes,,,"{ ""status"": true, ""data"": { ""faq"": { ""_id"": ""string"", ""title"": ""string"", ""content"": ""string"", ""slug"": ""string"", ""status"": ""active"", ""createdAt"": ""date"" } } }","{ ""status"": false, ""message"": ""FAQ not found"" }",
FAQs,Create FAQ,POST,/api/a/faqs,Yes,,"{ ""title"": ""string"", ""content"": ""string"", ""slug"": ""string"" }","{ ""status"": true, ""data"": { ""faqs"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",Slug auto-generated if not provided
FAQs,Update FAQ,PATCH,/api/a/faqs/:faqId,Yes,,"{ ""title"": ""string"", ""content"": ""string"", ""status"": ""active|inactive"", ""slug"": ""string"" }","{ ""status"": true, ""data"": { ""faq"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",
FAQs,Delete FAQ,DELETE,/api/a/faqs/:faqId,Yes,,,"{ ""status"": true, ""data"": {} }","{ ""status"": false, ""message"": ""Error message"" }",
Feedbacks,Get All Feedbacks,GET,/api/a/feedbacks,Yes,"page=1, limit=12, createdBy=admin|customer",,"{ ""status"": true, ""data"": { ""feedbacks"": [ { ""_id"": ""string"", ""fullname"": ""string"", ""email"": ""string"", ""phoneNumber"": ""string"", ""avatar"": ""string"", ""position"": ""string"", ""content"": ""string"", ""createdBy"": ""admin|customer"", ""status"": ""active|inactive"", ""createdAt"": ""date"" } ], ""pagination"": { ""total"": 0, ""page"": 1, ""limit"": 12 } } }","{ ""status"": false, ""message"": ""Error message"" }",Filter by createdBy
Feedbacks,Get Feedback by ID,GET,/api/a/feedbacks/:feedbackId,Yes,,,"{ ""status"": true, ""data"": { ""feedback"": {} } }","{ ""status"": false, ""message"": ""Feedback not found"" }",
Feedbacks,Create Feedback,POST,/api/a/feedbacks,Yes,,"{ ""fullname"": ""string"", ""position"": ""string"", ""content"": ""string"", ""avatar"": ""string"" }","{ ""status"": true, ""data"": { ""feedback"": {} } }","{ ""status"": false, ""message"": ""Error message"" }",Admin created feedback
